shortname,category,Assignment,Chat,Choice,Database,Feedback,Folder,Forum,Glossary,Label,Language Lesson,Lesson,LTI,Quiz,SCORM,Survey,Wiki,Workshop
FREN204-03-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fren204-f15 (KeÌøta),84,7,0,0,0,0,0,2,0,52,0,0,0,37,0,0,0,0
FREN210-00-F15,84,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
FREN238-00-F15,84,7,0,0,0,0,11,1,0,64,0,0,0,0,0,0,0,0
FREN395-00-F15,84,5,0,0,0,0,0,1,0,44,0,0,0,0,0,0,0,0
FREN400-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOL100-01-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GEOL100-02-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
geol100-f15,84,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
GEOL110-00-F15,84,2,0,0,0,0,26,1,0,27,0,0,0,40,0,0,0,0
GEOL110L-51-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GEOL110L-52-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GEOL110L-WL1-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOL110L-WL2-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOL120L-52-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOL120L-WL2-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOL210-00-F15,84,9,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
GEOL210L-53-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GEOL210L-54-F15,84,3,0,1,0,0,4,2,0,0,0,0,0,1,0,0,0,0
GEOL220-00-F15,84,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
GEOL220L-54-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOL220L-WL4-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOL360-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOL360L-52-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOL400-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERM101-01-F15,84,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
GERM101-02-F15,84,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
GERM101-07-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERM105-07-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERM175-07-F15,84,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
GERM204-00-F15,84,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
GERM205-07-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERM254-07-F15,84,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
GERM275-07-F15,84,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
GERM305-07-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GERM400-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRK103-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GRK281F-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEBR103-00-F15,84,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
HIST100-01-F15,84,1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0
HIST100-02-F15,84,6,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
HIST100-03-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HIST100-04-F15,84,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
HIST100-05-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST100-06-F15,84,4,0,1,0,0,0,3,0,4,0,0,0,0,0,0,0,0
HIST121-00-F15,84,8,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,0
HIST122-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST162-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HIST205-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HIST214-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST232-00-F15,84,6,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0
HIST233-00-F15,84,33,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
HIST240-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HIST245-00-F15,84,1,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0
HIST248-07-F15,84,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0
HIST254-00-F15,84,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
HIST266-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HIST291-11-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HIST298-00-F15,84,0,0,3,0,0,0,24,0,4,0,0,0,0,0,0,0,0
HIST391-11-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST395-00-F15,84,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
IDSC100-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
